"","MisspecVec","HomoskedVec","SizeVec","LeverageVec","KVec","TypeSetting","JobName","Output"
"76",1,0.5,2750,0,1,"Linear","FTP_Linear_D1_G0.5_N2750_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N2750_R0_K1.csv"
"77",0,0,2900,0,1,"Linear","FTP_Linear_D0_G0_N2900_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N2900_R0_K1.csv"
"78",1,0,2900,0,1,"Linear","FTP_Linear_D1_G0_N2900_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N2900_R0_K1.csv"
"79",0,0.5,2900,0,1,"Linear","FTP_Linear_D0_G0.5_N2900_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N2900_R0_K1.csv"
"80",1,0.5,2900,0,1,"Linear","FTP_Linear_D1_G0.5_N2900_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N2900_R0_K1.csv"
"81",0,0,3050,0,1,"Linear","FTP_Linear_D0_G0_N3050_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N3050_R0_K1.csv"
"82",1,0,3050,0,1,"Linear","FTP_Linear_D1_G0_N3050_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N3050_R0_K1.csv"
"83",0,0.5,3050,0,1,"Linear","FTP_Linear_D0_G0.5_N3050_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N3050_R0_K1.csv"
"84",1,0.5,3050,0,1,"Linear","FTP_Linear_D1_G0.5_N3050_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N3050_R0_K1.csv"
"85",0,0,3200,0,1,"Linear","FTP_Linear_D0_G0_N3200_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N3200_R0_K1.csv"
"86",1,0,3200,0,1,"Linear","FTP_Linear_D1_G0_N3200_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N3200_R0_K1.csv"
"87",0,0.5,3200,0,1,"Linear","FTP_Linear_D0_G0.5_N3200_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N3200_R0_K1.csv"
"88",1,0.5,3200,0,1,"Linear","FTP_Linear_D1_G0.5_N3200_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N3200_R0_K1.csv"
"89",0,0,3350,0,1,"Linear","FTP_Linear_D0_G0_N3350_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N3350_R0_K1.csv"
"90",1,0,3350,0,1,"Linear","FTP_Linear_D1_G0_N3350_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N3350_R0_K1.csv"
"91",0,0.5,3350,0,1,"Linear","FTP_Linear_D0_G0.5_N3350_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N3350_R0_K1.csv"
"92",1,0.5,3350,0,1,"Linear","FTP_Linear_D1_G0.5_N3350_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N3350_R0_K1.csv"
"93",0,0,3500,0,1,"Linear","FTP_Linear_D0_G0_N3500_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N3500_R0_K1.csv"
"94",1,0,3500,0,1,"Linear","FTP_Linear_D1_G0_N3500_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N3500_R0_K1.csv"
"95",0,0.5,3500,0,1,"Linear","FTP_Linear_D0_G0.5_N3500_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N3500_R0_K1.csv"
"96",1,0.5,3500,0,1,"Linear","FTP_Linear_D1_G0.5_N3500_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N3500_R0_K1.csv"
"97",0,0,3650,0,1,"Linear","FTP_Linear_D0_G0_N3650_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N3650_R0_K1.csv"
"98",1,0,3650,0,1,"Linear","FTP_Linear_D1_G0_N3650_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N3650_R0_K1.csv"
"99",0,0.5,3650,0,1,"Linear","FTP_Linear_D0_G0.5_N3650_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N3650_R0_K1.csv"
"100",1,0.5,3650,0,1,"Linear","FTP_Linear_D1_G0.5_N3650_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N3650_R0_K1.csv"
"101",0,0,3800,0,1,"Linear","FTP_Linear_D0_G0_N3800_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N3800_R0_K1.csv"
"102",1,0,3800,0,1,"Linear","FTP_Linear_D1_G0_N3800_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N3800_R0_K1.csv"
"103",0,0.5,3800,0,1,"Linear","FTP_Linear_D0_G0.5_N3800_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N3800_R0_K1.csv"
"104",1,0.5,3800,0,1,"Linear","FTP_Linear_D1_G0.5_N3800_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N3800_R0_K1.csv"
"105",0,0,3950,0,1,"Linear","FTP_Linear_D0_G0_N3950_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N3950_R0_K1.csv"
"106",1,0,3950,0,1,"Linear","FTP_Linear_D1_G0_N3950_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N3950_R0_K1.csv"
"107",0,0.5,3950,0,1,"Linear","FTP_Linear_D0_G0.5_N3950_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N3950_R0_K1.csv"
"108",1,0.5,3950,0,1,"Linear","FTP_Linear_D1_G0.5_N3950_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N3950_R0_K1.csv"
"109",0,0,4100,0,1,"Linear","FTP_Linear_D0_G0_N4100_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N4100_R0_K1.csv"
"110",1,0,4100,0,1,"Linear","FTP_Linear_D1_G0_N4100_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N4100_R0_K1.csv"
"111",0,0.5,4100,0,1,"Linear","FTP_Linear_D0_G0.5_N4100_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N4100_R0_K1.csv"
"112",1,0.5,4100,0,1,"Linear","FTP_Linear_D1_G0.5_N4100_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N4100_R0_K1.csv"
"113",0,0,4250,0,1,"Linear","FTP_Linear_D0_G0_N4250_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N4250_R0_K1.csv"
"114",1,0,4250,0,1,"Linear","FTP_Linear_D1_G0_N4250_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N4250_R0_K1.csv"
"115",0,0.5,4250,0,1,"Linear","FTP_Linear_D0_G0.5_N4250_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N4250_R0_K1.csv"
"116",1,0.5,4250,0,1,"Linear","FTP_Linear_D1_G0.5_N4250_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N4250_R0_K1.csv"
"117",0,0,4400,0,1,"Linear","FTP_Linear_D0_G0_N4400_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N4400_R0_K1.csv"
"118",1,0,4400,0,1,"Linear","FTP_Linear_D1_G0_N4400_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N4400_R0_K1.csv"
"119",0,0.5,4400,0,1,"Linear","FTP_Linear_D0_G0.5_N4400_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N4400_R0_K1.csv"
"120",1,0.5,4400,0,1,"Linear","FTP_Linear_D1_G0.5_N4400_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N4400_R0_K1.csv"
"121",0,0,4550,0,1,"Linear","FTP_Linear_D0_G0_N4550_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N4550_R0_K1.csv"
"122",1,0,4550,0,1,"Linear","FTP_Linear_D1_G0_N4550_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N4550_R0_K1.csv"
"123",0,0.5,4550,0,1,"Linear","FTP_Linear_D0_G0.5_N4550_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N4550_R0_K1.csv"
"124",1,0.5,4550,0,1,"Linear","FTP_Linear_D1_G0.5_N4550_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N4550_R0_K1.csv"
"125",0,0,4700,0,1,"Linear","FTP_Linear_D0_G0_N4700_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N4700_R0_K1.csv"
"126",1,0,4700,0,1,"Linear","FTP_Linear_D1_G0_N4700_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N4700_R0_K1.csv"
"127",0,0.5,4700,0,1,"Linear","FTP_Linear_D0_G0.5_N4700_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N4700_R0_K1.csv"
"128",1,0.5,4700,0,1,"Linear","FTP_Linear_D1_G0.5_N4700_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N4700_R0_K1.csv"
"129",0,0,4850,0,1,"Linear","FTP_Linear_D0_G0_N4850_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N4850_R0_K1.csv"
"130",1,0,4850,0,1,"Linear","FTP_Linear_D1_G0_N4850_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N4850_R0_K1.csv"
"131",0,0.5,4850,0,1,"Linear","FTP_Linear_D0_G0.5_N4850_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N4850_R0_K1.csv"
"132",1,0.5,4850,0,1,"Linear","FTP_Linear_D1_G0.5_N4850_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N4850_R0_K1.csv"
"133",0,0,5000,0,1,"Linear","FTP_Linear_D0_G0_N5000_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N5000_R0_K1.csv"
"134",1,0,5000,0,1,"Linear","FTP_Linear_D1_G0_N5000_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N5000_R0_K1.csv"
"135",0,0.5,5000,0,1,"Linear","FTP_Linear_D0_G0.5_N5000_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N5000_R0_K1.csv"
"136",1,0.5,5000,0,1,"Linear","FTP_Linear_D1_G0.5_N5000_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N5000_R0_K1.csv"
"137",0,0,5150,0,1,"Linear","FTP_Linear_D0_G0_N5150_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N5150_R0_K1.csv"
"138",1,0,5150,0,1,"Linear","FTP_Linear_D1_G0_N5150_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N5150_R0_K1.csv"
"139",0,0.5,5150,0,1,"Linear","FTP_Linear_D0_G0.5_N5150_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N5150_R0_K1.csv"
"140",1,0.5,5150,0,1,"Linear","FTP_Linear_D1_G0.5_N5150_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N5150_R0_K1.csv"
"141",0,0,5300,0,1,"Linear","FTP_Linear_D0_G0_N5300_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N5300_R0_K1.csv"
"142",1,0,5300,0,1,"Linear","FTP_Linear_D1_G0_N5300_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N5300_R0_K1.csv"
"143",0,0.5,5300,0,1,"Linear","FTP_Linear_D0_G0.5_N5300_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N5300_R0_K1.csv"
"144",1,0.5,5300,0,1,"Linear","FTP_Linear_D1_G0.5_N5300_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N5300_R0_K1.csv"
"145",0,0,5450,0,1,"Linear","FTP_Linear_D0_G0_N5450_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N5450_R0_K1.csv"
"146",1,0,5450,0,1,"Linear","FTP_Linear_D1_G0_N5450_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N5450_R0_K1.csv"
"147",0,0.5,5450,0,1,"Linear","FTP_Linear_D0_G0.5_N5450_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N5450_R0_K1.csv"
"148",1,0.5,5450,0,1,"Linear","FTP_Linear_D1_G0.5_N5450_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N5450_R0_K1.csv"
"149",0,0,5600,0,1,"Linear","FTP_Linear_D0_G0_N5600_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N5600_R0_K1.csv"
"150",1,0,5600,0,1,"Linear","FTP_Linear_D1_G0_N5600_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N5600_R0_K1.csv"
"151",0,0.5,5600,0,1,"Linear","FTP_Linear_D0_G0.5_N5600_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N5600_R0_K1.csv"
"152",1,0.5,5600,0,1,"Linear","FTP_Linear_D1_G0.5_N5600_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N5600_R0_K1.csv"
"153",0,0,5750,0,1,"Linear","FTP_Linear_D0_G0_N5750_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N5750_R0_K1.csv"
"154",1,0,5750,0,1,"Linear","FTP_Linear_D1_G0_N5750_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N5750_R0_K1.csv"
"155",0,0.5,5750,0,1,"Linear","FTP_Linear_D0_G0.5_N5750_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N5750_R0_K1.csv"
"156",1,0.5,5750,0,1,"Linear","FTP_Linear_D1_G0.5_N5750_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N5750_R0_K1.csv"
"157",0,0,5900,0,1,"Linear","FTP_Linear_D0_G0_N5900_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N5900_R0_K1.csv"
"158",1,0,5900,0,1,"Linear","FTP_Linear_D1_G0_N5900_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N5900_R0_K1.csv"
"159",0,0.5,5900,0,1,"Linear","FTP_Linear_D0_G0.5_N5900_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N5900_R0_K1.csv"
"160",1,0.5,5900,0,1,"Linear","FTP_Linear_D1_G0.5_N5900_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N5900_R0_K1.csv"
"161",0,0,6050,0,1,"Linear","FTP_Linear_D0_G0_N6050_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N6050_R0_K1.csv"
"162",1,0,6050,0,1,"Linear","FTP_Linear_D1_G0_N6050_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N6050_R0_K1.csv"
"163",0,0.5,6050,0,1,"Linear","FTP_Linear_D0_G0.5_N6050_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N6050_R0_K1.csv"
"164",1,0.5,6050,0,1,"Linear","FTP_Linear_D1_G0.5_N6050_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N6050_R0_K1.csv"
"165",0,0,6200,0,1,"Linear","FTP_Linear_D0_G0_N6200_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N6200_R0_K1.csv"
"166",1,0,6200,0,1,"Linear","FTP_Linear_D1_G0_N6200_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N6200_R0_K1.csv"
"167",0,0.5,6200,0,1,"Linear","FTP_Linear_D0_G0.5_N6200_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N6200_R0_K1.csv"
"168",1,0.5,6200,0,1,"Linear","FTP_Linear_D1_G0.5_N6200_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N6200_R0_K1.csv"
