"","MisspecVec","HomoskedVec","SizeVec","LeverageVec","KVec","TypeSetting","JobName","Output"
"1",0,0,50,0,1,"Linear","FTP_Linear_D0_G0_N50_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N50_R0_K1.csv"
"2",1,0,50,0,1,"Linear","FTP_Linear_D1_G0_N50_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N50_R0_K1.csv"
"3",0,0.5,50,0,1,"Linear","FTP_Linear_D0_G0.5_N50_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N50_R0_K1.csv"
"4",1,0.5,50,0,1,"Linear","FTP_Linear_D1_G0.5_N50_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N50_R0_K1.csv"
"5",0,0,200,0,1,"Linear","FTP_Linear_D0_G0_N200_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N200_R0_K1.csv"
"6",1,0,200,0,1,"Linear","FTP_Linear_D1_G0_N200_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N200_R0_K1.csv"
"7",0,0.5,200,0,1,"Linear","FTP_Linear_D0_G0.5_N200_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N200_R0_K1.csv"
"8",1,0.5,200,0,1,"Linear","FTP_Linear_D1_G0.5_N200_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N200_R0_K1.csv"
"9",0,0,350,0,1,"Linear","FTP_Linear_D0_G0_N350_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N350_R0_K1.csv"
"10",1,0,350,0,1,"Linear","FTP_Linear_D1_G0_N350_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N350_R0_K1.csv"
"11",0,0.5,350,0,1,"Linear","FTP_Linear_D0_G0.5_N350_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N350_R0_K1.csv"
"12",1,0.5,350,0,1,"Linear","FTP_Linear_D1_G0.5_N350_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N350_R0_K1.csv"
"13",0,0,500,0,1,"Linear","FTP_Linear_D0_G0_N500_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N500_R0_K1.csv"
"14",1,0,500,0,1,"Linear","FTP_Linear_D1_G0_N500_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N500_R0_K1.csv"
"15",0,0.5,500,0,1,"Linear","FTP_Linear_D0_G0.5_N500_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N500_R0_K1.csv"
"16",1,0.5,500,0,1,"Linear","FTP_Linear_D1_G0.5_N500_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N500_R0_K1.csv"
"17",0,0,650,0,1,"Linear","FTP_Linear_D0_G0_N650_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N650_R0_K1.csv"
"18",1,0,650,0,1,"Linear","FTP_Linear_D1_G0_N650_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N650_R0_K1.csv"
"19",0,0.5,650,0,1,"Linear","FTP_Linear_D0_G0.5_N650_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N650_R0_K1.csv"
"20",1,0.5,650,0,1,"Linear","FTP_Linear_D1_G0.5_N650_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N650_R0_K1.csv"
"21",0,0,800,0,1,"Linear","FTP_Linear_D0_G0_N800_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N800_R0_K1.csv"
"22",1,0,800,0,1,"Linear","FTP_Linear_D1_G0_N800_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N800_R0_K1.csv"
"23",0,0.5,800,0,1,"Linear","FTP_Linear_D0_G0.5_N800_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N800_R0_K1.csv"
"24",1,0.5,800,0,1,"Linear","FTP_Linear_D1_G0.5_N800_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N800_R0_K1.csv"
"25",0,0,950,0,1,"Linear","FTP_Linear_D0_G0_N950_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N950_R0_K1.csv"
"26",1,0,950,0,1,"Linear","FTP_Linear_D1_G0_N950_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N950_R0_K1.csv"
"27",0,0.5,950,0,1,"Linear","FTP_Linear_D0_G0.5_N950_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N950_R0_K1.csv"
"28",1,0.5,950,0,1,"Linear","FTP_Linear_D1_G0.5_N950_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N950_R0_K1.csv"
"29",0,0,1100,0,1,"Linear","FTP_Linear_D0_G0_N1100_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N1100_R0_K1.csv"
"30",1,0,1100,0,1,"Linear","FTP_Linear_D1_G0_N1100_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N1100_R0_K1.csv"
"31",0,0.5,1100,0,1,"Linear","FTP_Linear_D0_G0.5_N1100_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N1100_R0_K1.csv"
"32",1,0.5,1100,0,1,"Linear","FTP_Linear_D1_G0.5_N1100_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N1100_R0_K1.csv"
"33",0,0,1250,0,1,"Linear","FTP_Linear_D0_G0_N1250_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N1250_R0_K1.csv"
"34",1,0,1250,0,1,"Linear","FTP_Linear_D1_G0_N1250_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N1250_R0_K1.csv"
"35",0,0.5,1250,0,1,"Linear","FTP_Linear_D0_G0.5_N1250_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N1250_R0_K1.csv"
"36",1,0.5,1250,0,1,"Linear","FTP_Linear_D1_G0.5_N1250_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N1250_R0_K1.csv"
"37",0,0,1400,0,1,"Linear","FTP_Linear_D0_G0_N1400_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N1400_R0_K1.csv"
"38",1,0,1400,0,1,"Linear","FTP_Linear_D1_G0_N1400_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N1400_R0_K1.csv"
"39",0,0.5,1400,0,1,"Linear","FTP_Linear_D0_G0.5_N1400_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N1400_R0_K1.csv"
"40",1,0.5,1400,0,1,"Linear","FTP_Linear_D1_G0.5_N1400_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N1400_R0_K1.csv"
"41",0,0,1550,0,1,"Linear","FTP_Linear_D0_G0_N1550_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N1550_R0_K1.csv"
"42",1,0,1550,0,1,"Linear","FTP_Linear_D1_G0_N1550_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N1550_R0_K1.csv"
"43",0,0.5,1550,0,1,"Linear","FTP_Linear_D0_G0.5_N1550_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N1550_R0_K1.csv"
"44",1,0.5,1550,0,1,"Linear","FTP_Linear_D1_G0.5_N1550_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N1550_R0_K1.csv"
"45",0,0,1700,0,1,"Linear","FTP_Linear_D0_G0_N1700_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N1700_R0_K1.csv"
"46",1,0,1700,0,1,"Linear","FTP_Linear_D1_G0_N1700_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N1700_R0_K1.csv"
"47",0,0.5,1700,0,1,"Linear","FTP_Linear_D0_G0.5_N1700_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N1700_R0_K1.csv"
"48",1,0.5,1700,0,1,"Linear","FTP_Linear_D1_G0.5_N1700_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N1700_R0_K1.csv"
"49",0,0,1850,0,1,"Linear","FTP_Linear_D0_G0_N1850_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N1850_R0_K1.csv"
"50",1,0,1850,0,1,"Linear","FTP_Linear_D1_G0_N1850_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N1850_R0_K1.csv"
"51",0,0.5,1850,0,1,"Linear","FTP_Linear_D0_G0.5_N1850_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N1850_R0_K1.csv"
"52",1,0.5,1850,0,1,"Linear","FTP_Linear_D1_G0.5_N1850_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N1850_R0_K1.csv"
"53",0,0,2000,0,1,"Linear","FTP_Linear_D0_G0_N2000_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N2000_R0_K1.csv"
"54",1,0,2000,0,1,"Linear","FTP_Linear_D1_G0_N2000_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N2000_R0_K1.csv"
"55",0,0.5,2000,0,1,"Linear","FTP_Linear_D0_G0.5_N2000_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N2000_R0_K1.csv"
"56",1,0.5,2000,0,1,"Linear","FTP_Linear_D1_G0.5_N2000_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N2000_R0_K1.csv"
"57",0,0,2150,0,1,"Linear","FTP_Linear_D0_G0_N2150_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N2150_R0_K1.csv"
"58",1,0,2150,0,1,"Linear","FTP_Linear_D1_G0_N2150_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N2150_R0_K1.csv"
"59",0,0.5,2150,0,1,"Linear","FTP_Linear_D0_G0.5_N2150_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N2150_R0_K1.csv"
"60",1,0.5,2150,0,1,"Linear","FTP_Linear_D1_G0.5_N2150_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N2150_R0_K1.csv"
"61",0,0,2300,0,1,"Linear","FTP_Linear_D0_G0_N2300_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N2300_R0_K1.csv"
"62",1,0,2300,0,1,"Linear","FTP_Linear_D1_G0_N2300_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N2300_R0_K1.csv"
"63",0,0.5,2300,0,1,"Linear","FTP_Linear_D0_G0.5_N2300_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N2300_R0_K1.csv"
"64",1,0.5,2300,0,1,"Linear","FTP_Linear_D1_G0.5_N2300_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N2300_R0_K1.csv"
"65",0,0,2450,0,1,"Linear","FTP_Linear_D0_G0_N2450_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N2450_R0_K1.csv"
"66",1,0,2450,0,1,"Linear","FTP_Linear_D1_G0_N2450_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N2450_R0_K1.csv"
"67",0,0.5,2450,0,1,"Linear","FTP_Linear_D0_G0.5_N2450_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N2450_R0_K1.csv"
"68",1,0.5,2450,0,1,"Linear","FTP_Linear_D1_G0.5_N2450_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N2450_R0_K1.csv"
"69",0,0,2600,0,1,"Linear","FTP_Linear_D0_G0_N2600_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N2600_R0_K1.csv"
"70",1,0,2600,0,1,"Linear","FTP_Linear_D1_G0_N2600_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N2600_R0_K1.csv"
"71",0,0.5,2600,0,1,"Linear","FTP_Linear_D0_G0.5_N2600_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N2600_R0_K1.csv"
"72",1,0.5,2600,0,1,"Linear","FTP_Linear_D1_G0.5_N2600_R0_K1","data/Linear/EstimatedThetaPop/D1_G0.5_N2600_R0_K1.csv"
"73",0,0,2750,0,1,"Linear","FTP_Linear_D0_G0_N2750_R0_K1","data/Linear/EstimatedThetaPop/D0_G0_N2750_R0_K1.csv"
"74",1,0,2750,0,1,"Linear","FTP_Linear_D1_G0_N2750_R0_K1","data/Linear/EstimatedThetaPop/D1_G0_N2750_R0_K1.csv"
"75",0,0.5,2750,0,1,"Linear","FTP_Linear_D0_G0.5_N2750_R0_K1","data/Linear/EstimatedThetaPop/D0_G0.5_N2750_R0_K1.csv"
