JobName,MisspecVec,HomoskedVec,SizeVec,LeverageVec,KVec,TypeSetting,Output
SimResultsSmallLinear_D0_R0_N50_G0_K1,0,0,50,0,1,Linear,Results/Linear/N50_200/_D0_R0_N50_G0_K1.rds
SimResultsSmallLinear_D0_R0_N50_G0_K5,0,0,50,0,5,Linear,Results/Linear/N50_200/_D0_R0_N50_G0_K5.rds
SimResultsSmallLinear_D0_R0.1_N50_G0_K1,0,0,50,0.1,1,Linear,Results/Linear/N50_200/_D0_R0.1_N50_G0_K1.rds
SimResultsSmallLinear_D0_R0.1_N50_G0_K5,0,0,50,0.1,5,Linear,Results/Linear/N50_200/_D0_R0.1_N50_G0_K5.rds
SimResultsSmallLinear_D0_R0_N200_G0_K1,0,0,200,0,1,Linear,Results/Linear/N50_200/_D0_R0_N200_G0_K1.rds
SimResultsSmallLinear_D0_R0_N200_G0_K5,0,0,200,0,5,Linear,Results/Linear/N50_200/_D0_R0_N200_G0_K5.rds
SimResultsSmallLinear_D0_R0.1_N200_G0_K1,0,0,200,0.1,1,Linear,Results/Linear/N50_200/_D0_R0.1_N200_G0_K1.rds
SimResultsSmallLinear_D0_R0.1_N200_G0_K5,0,0,200,0.1,5,Linear,Results/Linear/N50_200/_D0_R0.1_N200_G0_K5.rds
SimResultsSmallLinear_D0_R0_N50_G0.5_K1,0,0.5,50,0,1,Linear,Results/Linear/N50_200/_D0_R0_N50_G0.5_K1.rds
SimResultsSmallLinear_D0_R0_N50_G0.5_K5,0,0.5,50,0,5,Linear,Results/Linear/N50_200/_D0_R0_N50_G0.5_K5.rds
SimResultsSmallLinear_D0_R0.1_N50_G0.5_K1,0,0.5,50,0.1,1,Linear,Results/Linear/N50_200/_D0_R0.1_N50_G0.5_K1.rds
SimResultsSmallLinear_D0_R0.1_N50_G0.5_K5,0,0.5,50,0.1,5,Linear,Results/Linear/N50_200/_D0_R0.1_N50_G0.5_K5.rds
SimResultsSmallLinear_D0_R0_N200_G0.5_K1,0,0.5,200,0,1,Linear,Results/Linear/N50_200/_D0_R0_N200_G0.5_K1.rds
SimResultsSmallLinear_D0_R0_N200_G0.5_K5,0,0.5,200,0,5,Linear,Results/Linear/N50_200/_D0_R0_N200_G0.5_K5.rds
SimResultsSmallLinear_D0_R0.1_N200_G0.5_K1,0,0.5,200,0.1,1,Linear,Results/Linear/N50_200/_D0_R0.1_N200_G0.5_K1.rds
SimResultsSmallLinear_D0_R0.1_N200_G0.5_K5,0,0.5,200,0.1,5,Linear,Results/Linear/N50_200/_D0_R0.1_N200_G0.5_K5.rds
SimResultsSmallLinear_D1_R0_N50_G0_K1,1,0,50,0,1,Linear,Results/Linear/N50_200/_D1_R0_N50_G0_K1.rds
SimResultsSmallLinear_D1_R0_N50_G0_K5,1,0,50,0,5,Linear,Results/Linear/N50_200/_D1_R0_N50_G0_K5.rds
SimResultsSmallLinear_D1_R0.1_N50_G0_K1,1,0,50,0.1,1,Linear,Results/Linear/N50_200/_D1_R0.1_N50_G0_K1.rds
SimResultsSmallLinear_D1_R0.1_N50_G0_K5,1,0,50,0.1,5,Linear,Results/Linear/N50_200/_D1_R0.1_N50_G0_K5.rds
SimResultsSmallLinear_D1_R0_N200_G0_K1,1,0,200,0,1,Linear,Results/Linear/N50_200/_D1_R0_N200_G0_K1.rds
SimResultsSmallLinear_D1_R0_N200_G0_K5,1,0,200,0,5,Linear,Results/Linear/N50_200/_D1_R0_N200_G0_K5.rds
SimResultsSmallLinear_D1_R0.1_N200_G0_K1,1,0,200,0.1,1,Linear,Results/Linear/N50_200/_D1_R0.1_N200_G0_K1.rds
SimResultsSmallLinear_D1_R0.1_N200_G0_K5,1,0,200,0.1,5,Linear,Results/Linear/N50_200/_D1_R0.1_N200_G0_K5.rds
SimResultsSmallLinear_D1_R0_N50_G0.5_K1,1,0.5,50,0,1,Linear,Results/Linear/N50_200/_D1_R0_N50_G0.5_K1.rds
SimResultsSmallLinear_D1_R0_N50_G0.5_K5,1,0.5,50,0,5,Linear,Results/Linear/N50_200/_D1_R0_N50_G0.5_K5.rds
SimResultsSmallLinear_D1_R0.1_N50_G0.5_K1,1,0.5,50,0.1,1,Linear,Results/Linear/N50_200/_D1_R0.1_N50_G0.5_K1.rds
SimResultsSmallLinear_D1_R0.1_N50_G0.5_K5,1,0.5,50,0.1,5,Linear,Results/Linear/N50_200/_D1_R0.1_N50_G0.5_K5.rds
SimResultsSmallLinear_D1_R0_N200_G0.5_K1,1,0.5,200,0,1,Linear,Results/Linear/N50_200/_D1_R0_N200_G0.5_K1.rds
SimResultsSmallLinear_D1_R0_N200_G0.5_K5,1,0.5,200,0,5,Linear,Results/Linear/N50_200/_D1_R0_N200_G0.5_K5.rds
SimResultsSmallLinear_D1_R0.1_N200_G0.5_K1,1,0.5,200,0.1,1,Linear,Results/Linear/N50_200/_D1_R0.1_N200_G0.5_K1.rds
SimResultsSmallLinear_D1_R0.1_N200_G0.5_K5,1,0.5,200,0.1,5,Linear,Results/Linear/N50_200/_D1_R0.1_N200_G0.5_K5.rds
