JobName,MisspecVec,HomoskedVec,SizeVec,LeverageVec,KVec,TypeSetting,Output
PrelimSim_Linear_D0_R0_N50_G0_K1,0,0,50,0,1,Linear,Results/Linear/N50_200/sim_D0_R0_N50_G0_K1.rds
PrelimSim_Linear_D0_R0_N50_G0_K5,0,0,50,0,5,Linear,Results/Linear/N50_200/sim_D0_R0_N50_G0_K5.rds
PrelimSim_Linear_D0_R0_N50_G0.1_K1,0,0,50,0.1,1,Linear,Results/Linear/N50_200/sim_D0_R0_N50_G0.1_K1.rds
PrelimSim_Linear_D0_R0_N50_G0.1_K5,0,0,50,0.1,5,Linear,Results/Linear/N50_200/sim_D0_R0_N50_G0.1_K5.rds
PrelimSim_Linear_D0_R0_N200_G0_K1,0,0,200,0,1,Linear,Results/Linear/N50_200/sim_D0_R0_N200_G0_K1.rds
PrelimSim_Linear_D0_R0_N200_G0_K5,0,0,200,0,5,Linear,Results/Linear/N50_200/sim_D0_R0_N200_G0_K5.rds
PrelimSim_Linear_D0_R0_N200_G0.1_K1,0,0,200,0.1,1,Linear,Results/Linear/N50_200/sim_D0_R0_N200_G0.1_K1.rds
PrelimSim_Linear_D0_R0_N200_G0.1_K5,0,0,200,0.1,5,Linear,Results/Linear/N50_200/sim_D0_R0_N200_G0.1_K5.rds
PrelimSim_Linear_D0_R0.5_N50_G0_K1,0,0.5,50,0,1,Linear,Results/Linear/N50_200/sim_D0_R0.5_N50_G0_K1.rds
PrelimSim_Linear_D0_R0.5_N50_G0_K5,0,0.5,50,0,5,Linear,Results/Linear/N50_200/sim_D0_R0.5_N50_G0_K5.rds
PrelimSim_Linear_D0_R0.5_N50_G0.1_K1,0,0.5,50,0.1,1,Linear,Results/Linear/N50_200/sim_D0_R0.5_N50_G0.1_K1.rds
PrelimSim_Linear_D0_R0.5_N50_G0.1_K5,0,0.5,50,0.1,5,Linear,Results/Linear/N50_200/sim_D0_R0.5_N50_G0.1_K5.rds
PrelimSim_Linear_D0_R0.5_N200_G0_K1,0,0.5,200,0,1,Linear,Results/Linear/N50_200/sim_D0_R0.5_N200_G0_K1.rds
PrelimSim_Linear_D0_R0.5_N200_G0_K5,0,0.5,200,0,5,Linear,Results/Linear/N50_200/sim_D0_R0.5_N200_G0_K5.rds
PrelimSim_Linear_D0_R0.5_N200_G0.1_K1,0,0.5,200,0.1,1,Linear,Results/Linear/N50_200/sim_D0_R0.5_N200_G0.1_K1.rds
PrelimSim_Linear_D0_R0.5_N200_G0.1_K5,0,0.5,200,0.1,5,Linear,Results/Linear/N50_200/sim_D0_R0.5_N200_G0.1_K5.rds
PrelimSim_Linear_D1_R0_N50_G0_K1,1,0,50,0,1,Linear,Results/Linear/N50_200/sim_D1_R0_N50_G0_K1.rds
PrelimSim_Linear_D1_R0_N50_G0_K5,1,0,50,0,5,Linear,Results/Linear/N50_200/sim_D1_R0_N50_G0_K5.rds
PrelimSim_Linear_D1_R0_N50_G0.1_K1,1,0,50,0.1,1,Linear,Results/Linear/N50_200/sim_D1_R0_N50_G0.1_K1.rds
PrelimSim_Linear_D1_R0_N50_G0.1_K5,1,0,50,0.1,5,Linear,Results/Linear/N50_200/sim_D1_R0_N50_G0.1_K5.rds
PrelimSim_Linear_D1_R0_N200_G0_K1,1,0,200,0,1,Linear,Results/Linear/N50_200/sim_D1_R0_N200_G0_K1.rds
PrelimSim_Linear_D1_R0_N200_G0_K5,1,0,200,0,5,Linear,Results/Linear/N50_200/sim_D1_R0_N200_G0_K5.rds
PrelimSim_Linear_D1_R0_N200_G0.1_K1,1,0,200,0.1,1,Linear,Results/Linear/N50_200/sim_D1_R0_N200_G0.1_K1.rds
PrelimSim_Linear_D1_R0_N200_G0.1_K5,1,0,200,0.1,5,Linear,Results/Linear/N50_200/sim_D1_R0_N200_G0.1_K5.rds
PrelimSim_Linear_D1_R0.5_N50_G0_K1,1,0.5,50,0,1,Linear,Results/Linear/N50_200/sim_D1_R0.5_N50_G0_K1.rds
PrelimSim_Linear_D1_R0.5_N50_G0_K5,1,0.5,50,0,5,Linear,Results/Linear/N50_200/sim_D1_R0.5_N50_G0_K5.rds
PrelimSim_Linear_D1_R0.5_N50_G0.1_K1,1,0.5,50,0.1,1,Linear,Results/Linear/N50_200/sim_D1_R0.5_N50_G0.1_K1.rds
PrelimSim_Linear_D1_R0.5_N50_G0.1_K5,1,0.5,50,0.1,5,Linear,Results/Linear/N50_200/sim_D1_R0.5_N50_G0.1_K5.rds
PrelimSim_Linear_D1_R0.5_N200_G0_K1,1,0.5,200,0,1,Linear,Results/Linear/N50_200/sim_D1_R0.5_N200_G0_K1.rds
PrelimSim_Linear_D1_R0.5_N200_G0_K5,1,0.5,200,0,5,Linear,Results/Linear/N50_200/sim_D1_R0.5_N200_G0_K5.rds
PrelimSim_Linear_D1_R0.5_N200_G0.1_K1,1,0.5,200,0.1,1,Linear,Results/Linear/N50_200/sim_D1_R0.5_N200_G0.1_K1.rds
PrelimSim_Linear_D1_R0.5_N200_G0.1_K5,1,0.5,200,0.1,5,Linear,Results/Linear/N50_200/sim_D1_R0.5_N200_G0.1_K5.rds
