"","Misspec.","Homo.","SS","Leverage","K","ThetaPop_VPop","ThetaPop_VCond","ThetaCond_VPop","ThetaCond_VCond","Population","Conditional","Difference","Indicator","PercentChange"
"Case 1","No","Yes",50,"No",1,0.91,0.89,0.86,0.85,0.364415743984924,0.358982671209143,0.00543307277578148,TRUE,-0.014908995743077
"Case 2","No","Yes",50,"No",5,0.91,0.87,0.91,0.89,0.363948762809667,0.352664812873031,0.0112839499366361,TRUE,-0.0310042266651068
"Case 3","No","Yes",50,"Yes",1,0.89,0.86,0.88,0.87,0.352092841992097,0.35872944622497,-0.00663660423287282,FALSE,0.0188490177628257
"Case 4","No","Yes",50,"Yes",5,0.9,0.89,0.92,0.89,0.334730042274457,0.315934815875222,0.0187952263992354,TRUE,-0.0561504018925929
"Case 5","No","Yes",200,"No",1,0.94,0.95,0.93,0.95,0.19095351940419,0.189644340160219,0.00130917924397136,TRUE,-0.00685601002828459
"Case 6","No","Yes",200,"No",5,0.98,0.97,0.98,0.97,0.190408985725946,0.181965410703971,0.00844357502197543,TRUE,-0.0443444146807661
"Case 7","No","Yes",200,"Yes",1,0.93,0.93,0.9,0.91,0.180483798678142,0.182700153157233,-0.00221635447909077,FALSE,0.0122800744184424
"Case 8","No","Yes",200,"Yes",5,0.96,0.96,0.97,0.95,0.17714064237449,0.166564542796152,0.0105760995783379,TRUE,-0.0597045344115843
"Case 9","No","No",50,"No",1,0.82,0.77,0.82,0.78,0.507786322703262,0.510855262867759,-0.00306894016449732,FALSE,0.00604376295162787
"Case 10","No","No",50,"No",5,0.84,0.81,0.84,0.81,0.522542842495545,0.479934169019891,0.0426086734756542,TRUE,-0.081541014459532
"Case 11","No","No",50,"Yes",1,0.83,0.78,0.83,0.78,0.472212234748207,0.466587024559995,0.00562521018821271,TRUE,-0.0119124617582435
"Case 12","No","No",50,"Yes",5,0.9,0.87,0.89,0.84,0.460185572227131,0.424729870281267,0.0354557019458644,TRUE,-0.0770465309772137
"Case 13","No","No",200,"No",1,0.95,0.92,0.95,0.92,0.306475407361343,0.293331485383485,0.0131439219778575,TRUE,-0.0428873627774006
"Case 14","No","No",200,"No",5,0.95,0.94,0.95,0.94,0.308868570296836,0.28151306375057,0.0273555065462668,TRUE,-0.0885668183071425
"Case 15","No","No",200,"Yes",1,0.94,0.9,0.94,0.91,0.274835808504335,0.262373789155738,0.0124620193485978,TRUE,-0.0453435067883491
"Case 16","No","No",200,"Yes",5,0.97,0.89,0.97,0.89,0.276122144692197,0.252161244757833,0.023960899934364,TRUE,-0.0867764516354675
"Case 17","Yes","Yes",50,"No",1,0.91,0.79,0.96,0.89,0.512821044816471,0.385616788271815,0.127204256544656,TRUE,-0.248048042938994
"Case 18","Yes","Yes",50,"No",5,0.94,0.86,1,0.97,0.484813565340178,0.419224154641228,0.0655894106989503,TRUE,-0.135287903202395
"Case 19","Yes","Yes",50,"Yes",1,0.9,0.76,0.97,0.91,0.525383250879702,0.405495443845998,0.119887807033704,TRUE,-0.228191147763016
"Case 20","Yes","Yes",50,"Yes",5,0.81,0.74,1,0.99,0.514497862384841,0.420142632974735,0.0943552294101062,TRUE,-0.183392850210773
"Case 21","Yes","Yes",200,"No",1,0.93,0.75,1,0.95,0.280919229155594,0.196327779945363,0.0845914492102315,TRUE,-0.301123741028701
"Case 22","Yes","Yes",200,"No",5,0.95,0.85,1,0.98,0.277267288482608,0.219547088329259,0.0577202001533488,TRUE,-0.208175297090516
"Case 23","Yes","Yes",200,"Yes",1,0.79,0.63,1,0.96,0.341119011695687,0.211675578315876,0.129443433379811,TRUE,-0.379467074369012
"Case 24","Yes","Yes",200,"Yes",5,0.87,0.78,1,1,0.335681689656048,0.239626894848627,0.0960547948074205,TRUE,-0.286148448864881
"Case 25","Yes","No",50,"No",1,0.86,0.73,0.85,0.78,0.614259010453771,0.537867357338527,0.0763916531152439,TRUE,-0.124363911338982
"Case 26","Yes","No",50,"No",5,0.91,0.83,0.94,0.82,0.609783359774156,0.530135285372687,0.0796480744014687,TRUE,-0.130617002128375
"Case 27","Yes","No",50,"Yes",1,0.87,0.73,0.89,0.8,0.642547083021655,0.510677323536515,0.13186975948514,TRUE,-0.205229722411946
"Case 28","Yes","No",50,"Yes",5,0.89,0.77,0.97,0.93,0.636020651503545,0.53455887651422,0.101461774989325,TRUE,-0.159525912797754
"Case 29","Yes","No",200,"No",1,0.92,0.83,0.97,0.94,0.365696725777134,0.300744155407881,0.0649525703692536,TRUE,-0.177613212782325
"Case 30","Yes","No",200,"No",5,0.95,0.89,0.97,0.95,0.368500676933679,0.306823795381595,0.0616768815520838,TRUE,-0.16737250543283
"Case 31","Yes","No",200,"Yes",1,0.89,0.73,0.99,0.94,0.414782352090467,0.32740276137282,0.0873795907176464,TRUE,-0.210663713818249
"Case 32","Yes","No",200,"Yes",5,0.94,0.86,1,0.97,0.397735405205037,0.315575330896272,0.0821600743087657,TRUE,-0.206569677312009
