"","V1","V2"
"1",0.0678633081900386,0.150022574501234
"2",0.0641822969933358,0.151829981931486
"3",0.0467185396021578,0.135249119285614
"4",0.0684635995213582,0.138620670358822
"5",0.0602626400029832,0.118307154000515
"6",0.0668970708870435,0.110076415126701
"7",0.0776761945535727,0.126987231738122
"8",0.063797441519447,0.138060176972811
"9",0.0791595579164849,0.130566632702438
"10",0.0662131949187239,0.137072929207741
"11",0.0714515531361153,0.131476005972626
"12",0.0702129696854811,0.134258335163325
"13",0.0744848055951585,0.128641251749454
"14",0.0724625343779614,0.139638519998324
"15",0.0693060260805924,0.144951149032279
"16",0.0878455454932677,0.153483699229101
"17",0.066426810816501,0.129548607343391
"18",0.0733487439027236,0.126719983461314
"19",0.078860926209434,0.153713841799288
"20",0.0617164001195229,0.147511099591109
"21",0.0674453122483776,0.144997650278118
"22",0.0901710686659585,0.175718748164497
"23",0.0673431285959503,0.133993932419235
"24",0.071651998415709,0.159329845960924
"25",0.0822006810700629,0.142462145486145
"26",0.0638756055133859,0.134055070083736
"27",0.0928888892623773,0.176107405199349
"28",0.0724157761005339,0.158811865142731
"29",0.065613277098088,0.146085692962289
"30",0.083578640055321,0.148019656796686
"31",0.0896326140122909,0.157716465186221
"32",0.0766660146291305,0.144650083804647
"33",0.0706029097880071,0.138813375525239
"34",0.0540529935297477,0.116796013974453
"35",0.109006901952393,0.236345039303555
"36",0.0676911515000136,0.152852307519285
"37",0.0575868043798036,0.113913627567028
"38",0.0765963868641477,0.147071555850656
"39",0.0630248689642731,0.109294169651981
"40",0.0643051742377909,0.175654736554617
"41",0.080148932747135,0.12913211271115
"42",0.0949870546949347,0.154167519860482
"43",0.081352980916441,0.154780475993664
"44",0.0600527241127682,0.126874267266425
"45",0.0796079272809485,0.133197919844239
"46",0.0649466174749067,0.140242931651958
"47",0.0800046248212876,0.150465773220161
"48",0.068005554068609,0.146476983645288
"49",0.0753027151762766,0.161792323820029
"50",0.0730594001811715,0.143905587547751
